Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
o0-area-rug,O0 — Area Rug,"Breathing in the damp air, walking along the shore of Fogo Island, the plush feeling of stepping on the moss. It brought all the memory back when we made the rug O0. Hand-tufted with 100% wool by local textile designer Avis Ho.",Hi Thanks Bye,Accessories,"",true,Material,Black Hand-tufted Wool,,,,,"",0,shopify,45,deny,manual,149.00,,true,true,"",https://cdn.shopify.com/s/files/1/0055/3281/1298/products/AreaRug.jpg?v=1554411040,1,,false,,,,,,,,,,,,,,,,,lb,,
d0-bar-stool,D0 — Bar Stool,Hi Thanks Bye cites the Chinese traditional shapes found in courtyard architecture design as the prime influence for the creation of the geometrically-shaped bar stool D0. It features a handy dot hook for your belongings while sipping at the bar.,Hi Thanks Bye,Seating,"",true,Color,Black Carbon Steel,,,,,"",0,shopify,35,deny,manual,229.00,,true,true,"",https://cdn.shopify.com/s/files/1/0055/3281/1298/products/BarStool.jpg?v=1554410940,1,,false,,,,,,,,,,,,,,,,,lb,,
v0-side-table,V0 — Side Table,The lily pad: born from the mud but never stained. The simple V0 side table design is manufactured out of cold-rolled powder-coated steel sheets and tubings.,Hi Thanks Bye,Tables,"",true,Color,Black Carbon Steel,,,,,"",0,shopify,15,deny,manual,229.00,,true,true,"",https://cdn.shopify.com/s/files/1/0055/3281/1298/products/SideTable3.jpg?v=1554411477,1,,false,,,,,,,,,,,,,,,,,lb,,
v0-side-table,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0055/3281/1298/products/SideTable2.jpg?v=1554411477,2,,,,,,,,,,,,,,,,,,,,,
v0-side-table,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0055/3281/1298/products/SideTable1.jpg?v=1554411477,3,,,,,,,,,,,,,,,,,,,,,
f0-floor-lamp,F0 — Floor Lamp,"A poetic interpretation of the moon shining over the Lake Ontario by utilizing a traditional Chinese textile making technique, Hi Thanks Bye's cold steel and organic fringe floor lamp F0 is designed to be an encounter of two cultures.",Hi Thanks Bye,Lighting,"",true,Color,Black Carbon Steel,,,,,"",0,shopify,50,deny,manual,199.00,,true,true,"",https://cdn.shopify.com/s/files/1/0055/3281/1298/products/Lamp1.jpg?v=1554410662,1,,false,,,,,,,,,,,,,,,,,lb,,
f0-floor-lamp,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0055/3281/1298/products/Lamp2.jpg?v=1554410663,2,,,,,,,,,,,,,,,,,,,,,
u0-shelf-divider,U0 — Shelf/Divider,"With multiple storage purposes crafted from laser-cut steel sheets, the shelf divider U0 is a sculptural translation of the staggering rock scenery. It is designed with traditional Chinese garden principle ""hide/reveal"" in mind while maintaining the functionality and versatility of a living space.",Hi Thanks Bye,Storage,"",true,Color,White,,,,,"",0,shopify,20,deny,manual,349.00,,true,true,"",https://cdn.shopify.com/s/files/1/0055/3281/1298/products/Shelf1.jpg?v=1554410551,1,,false,,,,,,,,,,,,,,,,,lb,,
u0-shelf-divider,,,,,,,,Black,,,,,"",0,shopify,20,deny,manual,349.00,,true,true,"",https://cdn.shopify.com/s/files/1/0055/3281/1298/products/Shelf2.jpg?v=1554410553,2,,,,,,,,,,,,,,,,,,,lb,,
u0-shelf-divider,,,,,,,,Raw,,,,,"",0,shopify,20,deny,manual,349.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,R0 — Dining Chair,The geometric R0 chair pays tribute to the renowned Chinese circle chair with a modern twist. It features a round steel support to the backrest and sinuous tubing armrest.,Hi Thanks Bye,Seating,"",true,Color,White,Finish,Gloss,Upholstery,Cashmere,"",9072,shopify,20,deny,manual,249.00,,true,true,"",https://cdn.shopify.com/s/files/1/0055/3281/1298/products/Chair1.jpg?v=1554410259,1,,false,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,White,,Gloss,,Tweed,"",9072,shopify,20,deny,manual,249.00,,true,true,"",https://cdn.shopify.com/s/files/1/0055/3281/1298/products/Chair2.jpg?v=1554410260,2,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,White,,Gloss,,Leather,"",9072,shopify,20,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,White,,Matte,,Cashmere,"",9072,shopify,20,deny,manual,249.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,White,,Matte,,Tweed,"",9072,shopify,20,deny,manual,249.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,White,,Matte,,Leather,"",9072,shopify,20,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Black,,Gloss,,Cashmere,"",9072,shopify,20,deny,manual,249.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Black,,Gloss,,Tweed,"",9072,shopify,20,deny,manual,249.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Black,,Gloss,,Leather,"",9072,shopify,20,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Black,,Matte,,Cashmere,"",9072,shopify,20,deny,manual,249.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Black,,Matte,,Tweed,"",9072,shopify,20,deny,manual,249.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Black,,Matte,,Leather,"",9072,shopify,20,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Raw,,Gloss,,Cashmere,"",9072,shopify,0,deny,manual,249.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Raw,,Gloss,,Tweed,"",9072,shopify,0,deny,manual,249.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Raw,,Gloss,,Leather,"",9072,shopify,0,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Raw,,Matte,,Cashmere,"",9072,shopify,0,deny,manual,249.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Raw,,Matte,,Tweed,"",9072,shopify,0,deny,manual,249.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
r0-dining-chair,,,,,,,,Raw,,Matte,,Leather,"",9072,shopify,0,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
